Tipo Agregacao;Gestao;Cod UG;Unidade Gestora;Conta Contabil;Conta Corrente;Saldo Calculado
;000001 - TESOURO                                           ;="130101";130101 - SECR. DE ESTADO DE ECONOMIA DO DF                 ;621910100 - ARRECADAÇÃO REALIZADA LÍQUIDA POR NATUREZA DA RECEITA                 ;16110106100100000                       ;-96,28
;000001 - TESOURO                                           ;="130103";130103 - SEÇÃO DE ORÇAMENTO DA SEEC                        ;622110000 - CRÉDITO DISPONÍVEL                                                    ;11910128846000190336963100000000339047  ;-830000
;000001 - TESOURO                                           ;="130103";130103 - SEÇÃO DE ORÇAMENTO DA SEEC                        ;622510000 - CRÉDITO DISPONÍVEL                                                    ;119101288460001903369630100099999339047 ;-830000
;000001 - TESOURO                                           ;="130103";130103 - SEÇÃO DE ORÇAMENTO DA SEEC                        ;812310201 - A EXECUTAR                                                            ;051972                                  ;-234146,03
;000001 - TESOURO                                           ;="130103";130103 - SEÇÃO DE ORÇAMENTO DA SEEC                        ;812310201 - A EXECUTAR                                                            ;052220                                  ;-79806,03
;000001 - TESOURO                                           ;="130103";130103 - SEÇÃO DE ORÇAMENTO DA SEEC                        ;812310201 - A EXECUTAR                                                            ;052325                                  ;-771,15
;000001 - TESOURO                                           ;="130103";130103 - SEÇÃO DE ORÇAMENTO DA SEEC                        ;812310201 - A EXECUTAR                                                            ;052374                                  ;-9416,22
;000001 - TESOURO                                           ;="130103";130103 - SEÇÃO DE ORÇAMENTO DA SEEC                        ;812310201 - A EXECUTAR                                                            ;052602                                  ;-34013,08
;000001 - TESOURO                                           ;="130103";130103 - SEÇÃO DE ORÇAMENTO DA SEEC                        ;812310201 - A EXECUTAR                                                            ;052603                                  ;-15369,06
;000001 - TESOURO                                           ;="130103";130103 - SEÇÃO DE ORÇAMENTO DA SEEC                        ;812310201 - A EXECUTAR                                                            ;052634                                  ;-84765,57
;000001 - TESOURO                                           ;="150106";150106 - JARDIM BOTÂNICO DE BRASÍLIA                       ;812310401 - A EXECUTAR                                                            ;056600                                  ;-593100
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;721191001 - TRANSFERÊNCIA DISPONIBILIDADE CONTRA PARTIDA                          ;300000000005038                         ;-429569,79
